name;label;question;new_name;comment;new_dtype
;;e. Pagando un seguro por su cuenta;;;
P7420s6;Preparando a sus hijos para que puedan mantenerlo en su vejez;13. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?;old_age_finances_investments_in_children;;float
;;f. Preparando a sus hijos para que puedan mantenerlo en su vejez;;;
P7420s7;Otro;13. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?;old_age_finances_other;;float
;;g. Otro;;;
P7420s8;Nada;13. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?;old_age_finances_nothing;;float
;;h. Nada;;;
P7420s7a1;¿cual?;13. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?;old_age_finances_other_what;;str
;;¿cuál? ________________;;;
P7422;¿recibió o ganó el mes pasado ingresos por concepto de trabajo?;14. ¿Recibió o ganó el mes pasado ingresos por concepto de trabajo?;work_earned_income_last_month;;category
;;1 Sí;;;
;;2 No;;;
P7422s1;¿cuánto?;14. ¿Recibió o ganó el mes pasado ingresos por concepto de trabajo?;work_earned_income_last_month_amount;;float
;;a. ¿cuánto? $ ______________;;;
P9460;¿actualmente recibe subsidio de desempleo?;11. ¿Actualmente recibe subsidio de desempleo?;unemployment_subsidies;;category
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
Oficio1;¿en que ocupación, oficio o labor ha buscado trabajo?;3. ¿En qué ocupación, oficio o labor ha buscado trabajo?;type_of_jobs_searched_for;;float
Oficio2;¿qué ocupación , oficio o labor realizo ... La última vez que trabajo?;7. ¿Qué ocupación, oficio o labor realizó ....... la última vez que trabajó?;last_job;;float
Rama2d_d;¿a que actividad se dedicaba principalmente la empresa negocio, industria, oficina, firma o finca en la que realizo su ultimo trabajo?;8. ¿A qué actividad se dedicaba principalmente la empresa negocio, industria, oficina, firma o finca en la que…… realizó su último trabajo?;economic_sector_last_job;;float
Dsi;Desocupados;Desocupados;desocupados;all 1;int
Dscy;Desempleo coyuntural;Desempleo Coyuntural;temporary_unemployment;both strings and int;float
Rama4d_d;Rama de actividad;Rama de la actividad según la CIIU revisión 3 adaptada para Colombia;economic_sector ;;float
Mes;Mes;Mes;month;;int
Dpto;Departamento;Departamento;department;;category
;;05 Antioquia;;;
;;08 Atlántico;;;
;;11 Bogotá, d.C.;;;
;;13 Bolívar;;;
;;17 Caldas;;;
;;23 Córdoba;;;
;;50 Meta;;;
;;52 Nariño;;;
;;54 Norte de santander;;;
;;66 Risaralda;;;
;;68 Santander;;;
;;73 Tolima;;;
;;76 Valle del cauca;;;
Fex_c_2011;Factor de expansión;Factor de expansión;factor_de_expansion;;float
