name;label;question;new_name;comment;new_dtype
P7510s7;Durante los últimos doce meses recibió;4. Durante los últimos doce meses recibió:;received_money_other;;category
;;f. Dinero de otras fuentes diferentes a las anteriores (ingresos por ganancias en juegos de azar, chances, loterias, indemnizaciones, liquidaciones, venta de propiedades, acciones, vehículos, etc.);;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P750s1;Las ayudas en dinero fueron de : entidades privadas nacionales?;4c1.Las ayudas en dinero fueron de :;received_payments_from_national_private_institutions_last_12_months;;category
;;entidades privadas nacionales?;;;
;;1. Si;;;
;;2. No;;;
;;9. No sabe, no informa;;;
P750s1a1;Valor;Valor;received_payments_from_national_private_institutions_last_12_months_amount;;float
P750s2;Las ayudas en dinero fueron de : entidades del gobierno ?;4c1.Las ayudas en dinero fueron de :;received_payments_from_national_governmental_institutions_last_12_months;;category
;;entidades del gobierno ?;;;
;;1. Si;;;
;;2. No;;;
;;9. No sabe, no informa;;;
P750s2a1;Valor;Valor;received_payments_from_national_governmental_institutions_last_12_months_amount;;float
P750s3;Las ayudas en dinero fueron de : entidades fuera del país ?;4c1.Las ayudas en dinero fueron de :;received_payments_from_international_institutions_last_12_months;;category
;;entidades fuera del país ?;;;
;;1. Si;;;
;;2. No;;;
;;9. No sabe, no informa;;;
P750s3a1;Valor;Valor;received_payments_from_international_institutions_last_12_months_amount;;float
P750s4;No sabe, no informa;No sabe, no informa;received_payments_doesnot_know_source;;category
Area;Área;Área;area;;category
;;05 Medellín;;;
;;08 Barranquilla;;;
;;11 Bogotá, d.C;;;
;;13 Cartagena;;;
;;17 Manizales;;;
;;23 Montería;;;
;;50 Villavicencio;;;
;;52 Pasto;;;
;;54 Cúcuta;;;
;;66 Pereira;;;
;;68 Bucaramanga;;;
;;73 Ibagué;;;
;;76 Cali;;;
Mes;Mes;Mes;month;;int
Dpto;Departamento;Departamento;department;;category
;;05 Antioquia;;;
;;08 Atlántico;;;
;;11 Bogotá, d.C.;;;
;;13 Bolívar;;;
;;17 Caldas;;;
;;23 Córdoba;;;
;;50 Meta;;;
;;52 Nariño;;;
;;54 Norte de santander;;;
;;66 Risaralda;;;
;;68 Santander;;;
;;73 Tolima;;;
;;76 Valle del cauca;;;
Fex_c_2011;Factor de expansión;Factor de expansión;factor_de_expansion;;float
