Name;Label;Question
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?
;;1 Sí
;;2 No
P6585S3;Subsidio familiar?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado:
;;c. Subsidio Familiar?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6585S3A1;¿cuánto? (si recibió pero no sabe el monto, escriba 98);20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: c. Subsidio Familiar?
;;a. ¿cuánto? $____________
P6585S3A2;¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: c. Subsidio Familiar?
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?
;;1 Sí
;;2 No
P6585S4;Subsidio educativo?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado:
;;d. Subsidio Educativo?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6585S4A1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: d. Subsidio Educativo?
;;a. ¿cuánto? $____________
P6585S4A2;¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: d. Subsidio Educativo?
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?
;;1 Sí
;;2 No
P6545;Primas(técnica, de antigüedad, clima, orden público, otras , etc);21. El mes pasado recibió ...:
;;a. Primas? (técnica, de antigüedad, clima, orden público, otras, etc.)
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6545S1;¿cuánto?;21. El mes pasado recibió ...: a. Primas? (técnica, de antigüedad, clima, orden público, otras, etc.)
;;a. ¿cuánto? $____________
P6545S2;¿incluyo esta valor en los ingresos del mes pasado que me declaro anteriormente?;21. El mes pasado recibió ...: a. Primas? (técnica, de antigüedad, clima, orden público, otras, etc.)
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?
;;1 Sí
;;2 No
P6580;El mes pasado recibió ... Bonificaciones mensuales?;21. El mes pasado recibió ...:
;;b. Algún tipo de bonificación de carácter mensual?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6580S1;¿cuánto recibió el mes pasado?;21. El mes pasado recibió ...: b. Algún tipo de bonificación de carácter mensual?
;;a. ¿cuánto? $____________
P6580S2;¿incluyó este valor en los ingresos del mes pasado que me declaró anteriormente ?;21. El mes pasado recibió ...: b. Algún tipo de bonificación de carácter mensual?
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?
;;1 Sí
;;2 No
P6630S1;Prima de servicios?;22. En los últimos 12 meses recibió:
;;a. Prima de servicios?
;;1 Sí
;;2 No
P6630S1A1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);22. En los últimos 12 meses recibió: a. Prima de servicios?
;;a. ¿cuánto recibió? $___________
P6630S2;Prima de navidad?;22. En los últimos 12 meses recibió:
;;b. Prima de navidad?
;;1 Sí
;;2 No
P6630S2A1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);22. En los últimos 12 meses recibió: b. Prima de navidad?
;;a. ¿cuánto recibió? $___________
P6630S3;Prima de vacaciones?;22. En los últimos 12 meses recibió:
;;c. Prima de vacaciones?
;;1 Sí
;;2 No
P6630S3A1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);22. En los últimos 12 meses recibió: c. Prima de vacaciones?
;;a. ¿cuánto recibió? $___________
P6630S4;Viáticos permanentes y/o bonificaciones anuales?;22. En los últimos 12 meses recibió:
;;d. Viáticos permanentes y/o bonificaciones anuales?
;;1 Sí
;;2 No
P6630S4A1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);22. En los últimos 12 meses recibió: d. Viáticos permanentes y/o bonificaciones anuales?
;;a. ¿cuánto recibió? $___________
P6630S6;Pagos por accidentes de trabajo;22. En los últimos 12 meses recibió:
;;e. Pagos por accidentes de trabajo
;;1 Sí
;;2 No
P6630S6A1;Cuánto recibió;22. En los últimos 12 meses recibió: e. Pagos por accidentes de trabajo
;;a. ¿cuánto recibió? $___________
P6640;¿la semana pasada trabajó usted horas extras remuneradas?;23. ¿La semana pasada ..... trabajó horas extras remuneradas?
;;1 Sí
;;2 No
P6640S1;¿cuántas?;23. ¿La semana pasada ..... trabajó horas extras remuneradas?
;;1 Sí
;;¿cuántas?
P6765;En la semana pasada, ¿cuál de las siguientes formas de trabajo realizó:;25. En la semana pasada, ¿cuál de las siguientes formas de trabajo realizó:
;;a. Trabajó por honorarios o prestación de servicios?
;;b. Trabajó por obra?
;;c. Trabajó por piezas o a destajo? (satélite, maquila, etc)
;;d. Trabajó por comisión únicamente?
;;e. Trabajó vendiendo por catálogo?
;;f. Trabajó en su oficio? (plomero, taxista, doméstica por días etc)
;;g. Tiene un negocio de industria, comercio, servicios o una finca?
;;h. Otro
P6765S1;¿cuál?;25. En la semana pasada, ¿cuál de las siguientes formas de trabajo realizó:
;;¿Cuál ? _______________
P6772;¿....ha registrado el negocio ante alguna autoridad o entidad? (cámaras de comercio, alcaldías, rut, registro mercantil);26. ¿ ..... ha registrado el negocio ante alguna autoridad o entidad? (Cámaras de comercio, Alcaldías, RUT, registro mercantil)
;;1 Sí
;;2 No
P6772S1;¿..ha renovado ese registro?;26A. ¿ … ha renovado ese registro?
;;1 Sí
;;2 No
P6773S1;Año renovación;26B. ¿Cuál fue el último año en el que renovó este registro?
;;Año____
P6775;¿el negocio o actividad de …. Lleva contabilidad (realiza anualmente balance general y estado de perdidas y ganancias), o libro de registro diario de operaciones?;26C. ¿El negocio o actividad de …. lleva contabilidad (realiza anualmente balance general y estado de perdidas y ganancias), o libro de registro diario de operaciones?
;;1 Sí
;;2 No
;;3 No aplica
;;9 No sabe
P6750;¿cuál fue la ganancia neta o los honorarios netos de ... Esa actividad, negocio, profesión o finca, el mes pasado?;27. ¿Cuál fue la ganancia neta o los honorarios netos de ... en esa actividad, negocio, profesión o finca, el mes pasado ?
;;Honorarios o ganancia neta en el mes pasado
;;Valor $_______________________
P6760;¿a cuántos meses corresponde lo que recibió?;28. ¿ A cuántos meses corresponde lo que recibió?
P550;¿cuál fue la ganancia neta del negocio o de la cosecha durante los últimos 12 meses?;28A. ¿Cuál fue la ganancia neta del negocio o de la cosecha durante los últimos doce meses?
;;Honorarios o ganancia neta en los últimos doce meses
;;Valor $_______________________
;;SOLO PARA CENTROS POBLADOS Y ÁREA RURAL DISPERSA
P6780;Este trabajo es:;29. Este trabajo es:
;;a. Ocasional? (De vez en cuando)
;;b. Estacional? (En ciertas épocas del año, cosechas, temporadas)
;;c. Permanente?
;;d. Otro?,
P6780S1;Otro?, especifique;29. Este trabajo es:
;;d. Otro?, especifique ______________
P6790;¿cuántos meses trabajó en los últimos 12 meses?;30. ¿Cuántos meses trabajó en los últimos 12 meses?
P6800;¿cuántas horas a la semana trabaja normalmente ... En ese trabajo?;31. ¿Cuántas horas a la semana trabaja normalmente.... en ese trabajo ?
;;Horas ____
P6810;¿cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?;32. ¿Cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?
;;a. Es lo único que ha conseguido pero quiere trabajar más horas
;;b. Es la jornada que se ajusta a sus necesidades
;;c. Otra,
P6810S1;¿cuál?;32. ¿Cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?
;;¿cuál?__________________
P6850;¿cuántas horas trabajó durante la semana pasada en este trabajo?;33. ¿Cuántas horas trabajó durante la semana pasada en este trabajo?
;;Horas _____
P6830;¿por qué razón de las horas que normalmente trabaja, hubo algunas que no trabajo la semana pasada?;34. ¿Por qué razón, de las horas que normalmente trabaja, hubo algunas que no trabajó la semana pasada?
;;a. Enfermedad, permiso o licencia
;;b. Festivos
;;c. Vacaciones
;;d. Capacitación
;;e. Suspensión o terminación del empleo
;;f. Reducción de la actividad económica de la empresa
;;g. Otro,
P6830S1;Otro, ¿cuál?;34. ¿Por qué razón, de las horas que normalmente trabaja, hubo algunas que no trabajó la semana pasada?
;;¿cuál? _____________
P6870;¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o finca o sitio donde ... Trabaja?;36. ¿Cuántas personas en total tiene la empresa, negocio, industria, oficina, firma, finca o sitio donde ..... trabaja?
;;a. Trabaja solo
;;b. 2 a 3 personas
;;c. 4 a 5 personas
;;d. 6 a 10 personas
;;e. 11 a 19 personas
;;f. 20 a 30 personas
;;g. 31 a 50 personas
;;h. 51 a 100 personas
;;i. 101 o más personas
P6880;Dónde realiza principalmente su trabajo:;37. Dónde realiza principalmente su trabajo:
;;a. En esta vivienda
;;b. En otras viviendas
;;c En kiosco - caseta
;;d En un vehículo
;;e. De puerta en puerta
;;f. Sitio al descubierto en la calle (ambulante y estacionario)
;;g. Local fijo, oficina, fábrica, etc.
;;h. En el campo o área rural, mar o río
;;i. En una obra en construcción
;;j. En una mina o cantera
;;k. Otro,
P6880S1;Otro, ¿cuál?;37. Dónde realiza principalmente su trabajo:
;;¿cuál? _______________________
P6915;¿en caso de enfermedad como cubriría los costos médicos y los medicamentos?;38. ¿En caso de enfermedad como cubriría los costos médicos y los medicamentos?
;;a. Es afiliado como cotizante a un régimen contributivo de salud (EPS)
;;b. Es afiliado a un régimen subsidiado de salud
;;c. Es beneficiario de un afiliado
;;d. Con ahorros personales
;;e. Con ayudas de los hijos o familiares
;;f. Con otro tipo de seguro o cubrimiento
;;g. Pidiendo dinero prestado
;;h. Vendería su vivienda o bienes del hogar
;;i. Empeñaría bienes del hogar
;;j. No lo ha considerado
;;k. No tiene recursos
;;l. Otro,
P6915S1;¿cual?;38. ¿En caso de enfermedad como cubriría los costos médicos y los medicamentos?
;;¿cuál? ________________
P6920;¿está ... Cotizando actualmente a un fondo de pensiones?;39. ¿Está... cotizando actualmente a un fondo de pensiones?
;;1 Sí
;;2 No
;;3 Ya es pensionado
P6930;¿a cual de los siguientes fondos esta afiliado actualmente:;40. ¿A cuál de los siguientes fondos cotiza actualmente:
;;a. Fondo privado?
;;b. ISS, Cajanal?
;;c. Regímenes especiales (FFMM, Ecopetrol etc)?
;;d. Fondo Subsidiado (Prosperar,etc.)?
P6940;¿quién paga mensualmente por la afiliación al fondo de pensiones de ...?;41. ¿ Quién paga mensualmente por la afiliación al fondo de pensiones de...?
;;a. ...paga una parte y otra la empresa o patrón
;;b. ... paga la totalidad de la afiliación
;;c. Paga completamente la empresa ó patrón
;;d. No paga
P6960;¿cuántos años lleva afiliado al fondo de pensiones?;42. ¿Cuántos años lleva cotizando al fondo de pensiones?
P6980;¿qué está haciendo usted actualmente para mantenerse económicamente en su vejez?;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
P6980S1;Aportar a un fondo de pensiones obligatorias;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;a. Aportar en un fondo de pensiones obligatorias
P6980S2;Aportar a un fondo de pensiones voluntarias;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;b. Aportar en un fondo de pensiones voluntarias
P6980S3;Ahorrando;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;c. Ahorrando
P6980S4;Haciendo inversiones;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;d. Haciendo inversiones
P6980S5;Pagando un seguro por su cuenta;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;e. Pagando un seguro por su cuenta
P6980S6;Preparando a sus hijos para que puedan mantenerlo en su vejez;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;f. Preparando a sus hijos para que puedan mantenerlo en su vejez
P6980S7;Otro,;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;g.
P6980S7A1;Otro, ¿cuál?;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;¿cuál? ________________
P6980S8;Nada;43. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?
;;h. Nada
P6990;¿está afiliado por una empresa o individualmente a una aseguradora de riesgos profesionales (arp) (por accidentes de trabajo, enfermedad profesional etc)?;44. ¿Está afiliado por una empresa o individualmente a una Aseguradora de Riesgos Profesionales (ARP) (por accidentes de trabajo, enfermedad profesional etc)?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P9450;¿esta afiliado a una caja de compensación familiar?;44A. ¿Esta afiliado a una caja de compensación familiar?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7020;Antes del actual trabajo, ¿... Tuvo otro trabajo?;45. Antes del actual trabajo, ¿... tuvo otro trabajo?
;;1 Sí
;;2 No
P760;¿cuántos meses estuvo sin empleo o trabajo ... Entre el trabajo actual y el anterior?;46. ¿Cuántos meses estuvo sin empleo o trabajo ... entre el trabajo actual y el anterior?
P7026;¿cuánto tiempo duró en su empleo anterior?;47. ¿Cuánto tiempo duró en su empleo anterior?
P7028;¿en su empleo anterior usted era:;48. ¿En su empleo anterior ..... era:
;;a. Obrero o empleado de empresa particular?
;;b. Obrero o empleado del gobierno?
;;c. Empleado doméstico?
;;d. Trabajador por cuenta propia?
;;e. Patrón o empleador?
;;f. Trabajador familiar sin remuneración?
;;g. Trabajador sin remuneración en empresas o negocios de otros hogares?
;;h. Jornalero o peón?
;;i. Otro,
P7028S1;Otro, ¿cuál?;48. ¿En su empleo anterior ..... era:
;;¿cual? ________________
P7040;Además de la ocupación principal, ¿... Tenía la semana pasada otro trabajo o negocio?;49. Además de la ocupación principal, ¿.... tenía la semana pasada otro trabajo o negocio?
;;1 Sí
;;2 No
P390;¿en qué departamento realiza … principalmente este trabajo?;P49A.¿En qué departamento realiza … principalmente este trabajo?
;;5 - Antioquia
;;8 - Atlántico
;;11 - Bogotá
;;13 - Bolívar
;;15 - Boyacá
;;17 - Caldas
;;18 - Caquetá
;;19 - Cauca
;;20 - Cesar
;;23 - Córdoba
;;25 - Cundinamarca
;;27 - Chocó
;;41 - Huila
;;44 - Guajira
;;47 - Magdalena
;;50 - Meta
;;52 - Nariño
;;54 - Norte de Santander
;;63 - Quindío
;;66 - Risaralda
;;68 - Santander
;;70 - Sucre
;;73 - Tolima
;;76 - Valle del Cauca
;;81 - Arauca
;;85 - Casanare
;;86 - Putumayo
;;88 - San Andrés
;;99 - Vichada
P7045;¿cuántas horas trabajó ... La semana pasada en ese segundo trabajo?;50. ¿Cuántas horas trabajó ... la semana pasada en ese segundo trabajo?
P7050;En ese segundo trabajo ... Es:;51. En ese segundo trabajo…..es:
;;a. Obrero o empleado de empresa particular
;;b. Obrero o empleado del gobierno
;;c. Empleado doméstico
;;d. Trabajador por cuenta propia
;;e. Patrón o empleador
;;f. Trabajador familiar sin remuneración
;;g. Trabajador sin remuneración en empresas o negocios de otros hogares
;;h. Jornalero o peón
;;i. Otro,
P7050S1;Otro, ¿cuál?;51. En ese segundo trabajo…..es:
;;¿cuál? ________________
P7070;¿cuánto recibio o ganó ... El mes pasado en ese segundo trabajo?;52. ¿Cuánto recibió o ganó ….. el mes pasado en ese segundo trabajo o negocio?
;;Valor mes pasado
;;$_______________________
P7075;¿cuántas personas en total tiene la empresa o negocio o finca donde trabaja?;53. ¿Cuántas personas en total tiene la empresa, negocio o finca donde ... trabaja?
;;a. Trabaja solo
;;b. 2 a 5 personas
;;c. 6 a 10 personas
;;d. 11 y más personas
P7077;Dónde realiza principalmente su trabajo:;54. Dónde realiza principalmente su trabajo:
;;a. En su vivienda
;;b. En otras viviendas
;;c. En kiosko - caseta
;;d. En un vehículo
;;e. De puerta en puerta
;;f. Sitio al descubierto en la calle
;;g. Local fijo, oficina, fábrica, etc.
;;h. En el campo o área rural
P7090;Además de la horas que trabaja actualmente ¿... Quiere trabajar más horas?;55. Además de las horas que trabaja actualmente ¿...... quiere trabajar más horas?
;;1 Sí
;;2 No
P7100;¿cuántas horas adicionales puede trabajar ... A la semana?;56. ¿Cuántas horas adicionales puede trabajar....... a la semana?
P7110;Durante las ultimas 4 semanas, ¿... Hizo diligencias para trabajar más horas?;57. Durante las ÚLTIMAS 4 SEMANAS, ¿ ...... hizo diligencias para trabajar más horas?
;;1 Sí
;;2 No
P7120;Si la semana pasada le hubiera resultado la posibilidad de trabajar más horas ¿estaba ... Disponible para hacerlo?;58. Si la semana pasada le hubiera resultado la posibilidad de trabajar más horas ¿ estaba...... disponible para hacerlo?
;;1 Sí
;;2 No
P7130;¿... Desea cambiar el trabajo que tiene actualmente?;59. ¿......desea cambiar el trabajo que tiene actualmente?
;;1 Sí
;;2 No
P7140;Por cual o cuales de los siguientes motivos ... Desea cambiar de trabajo o empleo:;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
P7140S1;Para mejorar la utilización de sus capacidades o formación?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;a. Para mejorar la utilización de sus capacidades o formación?
;;1 Sí
;;2 No
P7140S2;Desea mejorar sus ingresos?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;b. Desea mejorar sus ingresos?
;;1 Sí
;;2 No
P7140S3;Desea trabajar menos horas?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;c. Desea trabajar menos horas?
;;1 Sí
;;2 No
P7140S4;Porque el trabajo actual es temporal?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;d. Porque el trabajo actual es temporal?
;;1 Sí
;;2 No
P7140S5;Problemas en el trabajo?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;e. Problemas en el trabajo?
;;1 Sí
;;2 No
P7140S6;No le gusta su trabajo actual?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;f. No le gusta su trabajo actual?
;;1 Sí
;;2 No
P7140S7;Su trabajo actual exige mucho esfuerzo físico o mental?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;g. Su trabajo actual exige mucho esfuerzo físico o mental?
;;1 Sí
;;2 No
P7140S8;Problemas ambientales (aire, olores, frío, ruidos, temperatura, etc.);60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;h. Problemas ambientales (aire, olores, ruidos, temperatura, etc)?
;;1 Sí
;;2 No
P7140S9;Otro?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;i. Otro?
;;1 Sí
;;2 No
P7140S9A1;¿cuál?;60. ¿Por que motivos ....... desea cambiar de trabajo o empleo:
;;¿cuál?_____________
P7150;Durante las ultimas 4 semanas, ¿... Hizo diligencias para cambiar de trabajo?;61. Durante las ÚLTIMAS 4 SEMANAS, ¿...... hizo diligencias para cambiar de trabajo?
;;1 Sí
;;2 No
P7160;Si le resultara un nuevo trabajo o empleo a ... ¿podría empezar a desempeñarlo antes de un mes?;62. Si le resultara un nuevo trabajo o empleo a...¿podría empezar a desempeñarlo antes de un mes?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7170S1;Con su trabajo actual?;63A. ¿Está .....satisfecho con su trabajo actual?
;;1.Si
;;2.No
