name;label;question;new_name;comment;new_dtype
;;m. Equipo de sonido;;;
;;1 Sí;;;
;;2 No;;;
P5210s16;Computador (para uso del hogar);13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_pc;;category
;;n. Computador para uso del hogar;;;
;;1 Sí;;;
;;2 No;;;
P5210s17;Aspiradora / brilladora;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_vacuum_or_polisher;;category
;;o. Aspiradora / brilladora;;;
;;1 Sí;;;
;;2 No;;;
P5210s18;Aire acondicionado;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_air_conditioning;;category
;;p. Aire acondicionado;;;
;;1 Sí;;;
;;2 No;;;
P5210s19;Ventilador o abanico;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_ventilator;;category
;;q. Ventilador o abanico;;;
;;1 Sí;;;
;;2 No;;;
P5210s2;Servicio de televisión por subscripción cable o antena parabólica;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_cable_tv;;category
;;b. Servicio de televisión por suscripción cable o antena parabólica;;;
;;1 Sí;;;
;;2 No;;;
P5210s20;Bicicleta;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_bicycle;;category
;;r. Bicicleta;;;
;;1 Sí;;;
;;2 No;;;
P5210s21;Motocicleta;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_motorcycle;;category
;;s. Motocicleta;;;
;;1 Sí;;;
;;2 No;;;
P5210s22;Carro particular;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_car;;category
;;t. Carro particular;;;
;;1 Sí;;;
;;2 No;;;
P5210s24;Casa, apartamento o finca de recreo;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_holiday_home;;category
;;u. Casa, apartamento o finca de recreo;;;
;;1 Sí;;;
;;2 No;;;
P5210s3;Servicio de internet;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_internet;;category
;;c. Servicio de Internet;;;
;;1 Sí;;;
;;2 No;;;
P5210s4;Máquina lavadora de ropa;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_washing_machine;;category
;;d. Máquina lavadora de ropa;;;
;;1 Sí;;;
;;2 No;;;
P5210s5;Nevera o refrigerador;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_fridge;;category
;;e. Nevera o refrigerador;;;
;;1 Sí;;;
;;2 No;;;
P5210s6;Licuadora;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_liquidizer;;category
;;f. Licuadora;;;
;;1 Sí;;;
;;2 No;;;
P5210s7;Estufa eléctrica o de gas;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_stove;;category
;;g. Estufa eléctrica o de gas;;;
;;1 Sí;;;
;;2 No;;;
P5210s8;Horno eléctrico o de gas;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_oven;;category
;;h. Horno eléctrico o de gas;;;
;;1 Sí;;;
;;2 No;;;
P5210s9;Horno microondas;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_microwave;;category
;;i. Horno microondas;;;
;;1 Sí;;;
;;2 No;;;
P5220;¿en este hogar algún o algunos de sus miembro(s) tiene teléfono celular?;14. ¿ En este hogar algún o algunos de sus miembros tiene teléfono celular propio?;hh_has_at_least_1_cellphone;;category
;;1 Sí;;;
;;2 No;;;
P5220s1;¿cuántas personas?;14. ¿Cuántas personas?;cellphone_amount_in_hh;;float
P6006;¿alguna o algunas de las personas que menciono, residen la mayor parte del tiempo en otra parte?;2. ¿Alguna o algunas de las PERSONAS QUE ME MENCIONO, RESIDEN LA MAYOR PARTE DEL TIEMPO EN OTRA PARTE?;any_hh_member_resides_mostly_elsewhre;;category
;;1 Sí;;;
;;2 No;;;
P6007;¿alguna persona que consideren jefe del hogar está ausente temporalmente por razones de trabajo o estudio?;4. ¿Alguna persona que consideren jefe del hogar reside la mayor parte del tiempo en otro sitio por razones de trabajo o estudio?;hh_head_resides_mostly_elsewhere_bcof_work;;category
;;1 Sí;;;
;;2 No;;;
P6007s1;Parentesco con el jefe actual;4. Parentesco con el Jefe Actual;relationship_to_hh_head;;category
;;1 Cónyuge;;;
;;2 Hijo e Hija;;;
;;3 Padre o Madre;;;
;;4 Otro pariente;;;
;;5 Otro no pariente;;;
P6008;Total de personas en el hogar:;3. Total de personas en el hogar;number_of_hh_members;;float
Hogar;Hogar;Hogar;household;;int
P4000;Tipo de vivienda;1. Tipo de vivienda;dwelling_type;;category
;;a. Casa;;;
;;b. Apartamento;;;
;;c. Cuarto (s) en inquilinato;;;
;;d. Cuarto (s) en otro tipo de estructura;;;
;;e. Vivienda indígena;;;
;;f. Otra vivienda (carpa, vagón, embarcación, cueva, refugio natural, etc.);;;
P4010;¿cuál es el material predominante de las paredes exteriores de la vivienda?;2. ¿Cuál es el material predominante de las paredes exteriores de la vivienda?;exterior_wall_material;;category
;;a. Ladrillo, bloque, material prefabricado, piedra;;;
;;b. Madera pulida;;;
;;c. Adobe o tapia pisada;;;
;;d. Bahareque;;;
;;e. Madera burda, tabla, tablón;;;
;;f. Guadua;;;
;;g. Caña, esterilla, otro tipo de material vegetal;;;
;;h. Zinc, tela, cartón, latas, desechos, plástico;;;
;;i. Sin paredes;;;
P4020;¿cuál es el material predominante de los pisos de la vivienda?;3. ¿Cuál es el material predominante de los pisos de la vivienda?;floor_material;;category
;;a. Tierra, arena;;;
;;b. Cemento, gravilla;;;
;;c. Madera burda, tabla, tablón, otro vegetal;;;
;;d. Baldosín, ladrillo, vinisol, otros materiales sintéticos;;;
;;e. Mármol;;;
;;f. Madera pulida;;;
;;g. Alfombra o tapete de pared a pared;;;
P4030s1;Energía eléctrica;4. ¿Con cuáles de los siguientes servicios cuenta la vivienda?;dwelling_has_electrical_energy;;category
;;a. Energía eléctrica;;;
;;1 Sí;;;
;;2 No;;;
P4030s2;Gas natural conectado a red pública;4. ¿Con cuáles de los siguientes servicios cuenta la vivienda?;dwelling_has_natural_gas;;category
;;b. Gas natural conectado a red pública;;;
;;1 Sí;;;
;;2 No;;;
P4030s3;Alcantarillado;4. ¿Con cuáles de los siguientes servicios cuenta la vivienda?;dwelling_has_sewer;;category
;;c. Alcantarillado;;;
;;1 Sí;;;
;;2 No;;;
P4030s4;Recolección de basuras;4. ¿Con cuáles de los siguientes servicios cuenta la vivienda?;dwelling_has_waste_disposal_service;;category
;;d. Recolección de basuras;;;
;;1 Sí;;;
;;2 No;;;
P4030s5;Acueducto;4. ¿Con cuáles de los siguientes servicios cuenta la vivienda?;dwelling_has_aqueduct;;category
;;e. Acueducto;;;
;;1 Sí;;;
;;2 No;;;
P4030s1a1;Estrato para tarifa;4a. Estrato para tarifa;estrato ;;category
;;1 Bajo - Bajo;;;
;;2 Bajo;;;
;;3 Medio - Bajo;;;
;;4 Medio;;;
;;5 Medio - Alto;;;
;;6 Alto;;;
;;9 No sabe o cuenta con planta eléctrica;;;
;;0 Conexión Pirata;;;
P4030s4a1;Veces por semana;4d. Veces por semana;dwelling_has_waste_disposal_service_times_per_week;;float
P4040;¿el agua del acueducto llega las 24 horas al día durante los siete días a la semana?;5. ¿El agua del acueducto llega las 24 horas del día, durante los siete días de la semana?;aqueduct_water_24/7;;category
;;1 Sí;;;
;;2 No;;;
Regis;Registro de la encuesta;Registro de la encuesta;regis;;int
Area;Area;Area;area;;category
;;05 Medellín;;;
;;08 Barranquilla;;;
;;11 Bogotá, D.C;;;
;;13 Cartagena;;;
;;17 Manizales;;;
;;23 Montería;;;
;;50 Villavicencio;;;
;;52 Pasto;;;
;;54 Cúcuta;;;
;;66 Pereira;;;
;;68 Bucaramanga;;;
;;73 Ibagué;;;
;;76 Cali;;;
Mes;Mes;Mes;month;;int
Dpto;Departamento;Departamento;department;;category
;;05 Antioquia;;;
;;08 Atlántico;;;
;;11 Bogotá, D.C.;;;
;;13 Bolívar;;;
;;17 Caldas;;;
;;23 Córdoba;;;
;;50 Meta;;;
;;52 Nariño;;;
;;54 Norte de Santander;;;
;;66 Risaralda;;;
;;68 Santander;;;
;;73 Tolima;;;
;;76 Valle del Cauca;;;
Fex_c_2011;Factor de expansión;Factor de expansión;factor_de_expansion;;float
