name;label;question;new_name;comment;new_dtype
P6210;¿cuál es el nivel educativo más alto alcanzado por ... Y el último año o grado aprobado en este nivel?;4. ¿Cuál es el nivel educativo más alto alcanzado por .... y el último año o grado aprobado en este nivel?;highest_degree;"7, which one would expect to correspnond to ""g"" and thus mean a  missing is not in the data. Instead there ar "" "" and ""9"". I interpret them as missing.  values look like integers but are strings";category
;;a. Ninguno;;;
;;b. Preescolar;;;
;;c. Básica primaria (1o - 5o);;;
;;d. Básica secundaria (6o - 9o);;;
;;e. Media (10o - 13o);;;
;;f. Superior o universitaria;;;
;;g. No sabe, no informa;;;
P6210s1;Grado;4. ¿Cuál es el nivel educativo más alto alcanzado por .... y el último año o grado aprobado en este nivel?;passed_year_in_highest_degree;Note, here the values look like integers, but are strings. ;float
;;Grado;;;
P6220;¿cuál es el título o diploma de mayor nivel educativo que usted ha recibido?;5. ¿Cuál es el título o diploma de mayor nivel educativo que Usted ha recibido?;highest_education_title;;category
;;a. Ninguno;;;
;;b. Bachiller;;;
;;c. Técnico o tecnológico;;;
;;d. Universitario;;;
;;e. Postgrado;;;
;;f. No sabe, no informa;;;
Area;Area;Area;area;Needs manual recoding that differs between cabecera and area;category
;;05 Medellín;;;
;;08 Barranquilla;;;
;;11 Bogotá, D.C;;;
;;13 Cartagena;;;
;;17 Manizales;;;
;;23 Montería;;;
;;50 Villavicencio;;;
;;52 Pasto;;;
;;54 Cúcuta;;;
;;66 Pereira;;;
;;68 Bucaramanga;;;
;;73 Ibagué;;;
;;76 Cali;;;
Esc;Escolaridad;Años de escolaridad;schooling_years;;float
Mes;Mes;Mes;month ;;int
Dpto;Departamento;Departamento;department;;category
;;05 Antioquia;;;
;;08 Atlántico;;;
;;11 Bogotá, D.C.;;;
;;13 Bolívar;;;
;;17 Caldas;;;
;;23 Córdoba;;;
;;50 Meta;;;
;;52 Nariño;;;
;;54 Norte de Santander;;;
;;66 Risaralda;;;
;;68 Santander;;;
;;73 Tolima;;;
;;76 Valle del Cauca;;;
Fex_c_2011;Factor de expansión;Factor de expansión;factor_de_expansion;;float
